cycle,arm,target_rate,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods
1,normal,200,198,cartservice,server,59,3,3,3,0
1,normal,200,198,checkoutservice,checkout,77,2,3,3,0
1,normal,200,198,currencyservice,server,56,3,3,3,0
1,normal,200,198,emailservice,email,58,3,3,3,0
1,normal,200,198,frontend,server,74,2,2,2,0
1,normal,200,198,paymentservice,payment,57,3,3,3,0
1,normal,200,198,productcatalogservice,server,71,2,2,2,0
1,normal,200,198,recommendationservice,server,70,2,2,2,0
1,normal,200,198,redis-cart,-,,1,1,1,0
1,normal,200,198,shippingservice,server,79,2,3,3,0
1,normal,200,213,adservice,server,57,2,2,2,0
1,normal,200,213,cartservice,server,64,3,3,3,0
1,normal,200,213,checkoutservice,checkout,76,3,3,3,0
1,normal,200,213,currencyservice,server,54,3,3,3,0
1,normal,200,213,emailservice,email,56,3,3,3,0
1,normal,200,213,frontend,server,72,2,2,2,0
1,normal,200,213,paymentservice,payment,56,3,3,3,0
1,normal,200,213,productcatalogservice,server,71,2,2,2,0
1,normal,200,213,recommendationservice,server,70,2,2,2,0
1,normal,200,213,redis-cart,-,,1,1,1,0
1,normal,200,213,shippingservice,server,76,3,3,3,0
1,normal,200,228,adservice,server,58,2,2,2,0
1,normal,200,228,cartservice,server,57,3,3,3,0
1,normal,200,228,checkoutservice,checkout,78,3,3,3,0
1,normal,200,228,currencyservice,server,55,3,3,3,0
1,normal,200,228,emailservice,email,58,3,3,3,0
1,normal,200,228,frontend,server,75,2,2,2,0
1,normal,200,228,paymentservice,payment,56,3,3,3,0
1,normal,200,228,productcatalogservice,server,71,2,2,2,0
1,normal,200,228,recommendationservice,server,73,2,2,2,0
1,normal,200,228,redis-cart,-,,1,1,1,0
1,normal,200,228,shippingservice,server,51,3,3,3,0
1,normal,200,244,adservice,server,57,2,2,2,0
1,normal,200,244,cartservice,server,65,3,3,3,0
1,normal,200,244,checkoutservice,checkout,52,3,3,3,0
1,normal,200,244,currencyservice,server,56,3,3,3,0
1,normal,200,244,emailservice,email,57,3,3,3,0
1,normal,200,244,frontend,server,74,2,2,2,0
1,normal,200,244,paymentservice,payment,56,3,3,3,0
1,normal,200,244,productcatalogservice,server,72,2,2,2,0
1,normal,200,244,recommendationservice,server,70,2,2,2,0
1,normal,200,244,redis-cart,-,,1,1,1,0
1,normal,200,244,shippingservice,server,53,3,3,3,0
1,normal,200,259,adservice,server,57,2,2,2,0
1,normal,200,259,cartservice,server,72,3,3,3,0
1,normal,200,259,checkoutservice,checkout,54,3,3,3,0
1,normal,200,259,currencyservice,server,56,3,3,3,0
1,normal,200,259,emailservice,email,59,3,3,3,0
1,normal,200,259,frontend,server,75,2,2,2,0
1,normal,200,259,paymentservice,payment,61,3,3,3,0
1,normal,200,259,productcatalogservice,server,73,2,2,2,0
1,normal,200,259,recommendationservice,server,71,2,2,2,0
1,normal,200,259,redis-cart,-,,1,1,1,0
1,normal,200,259,shippingservice,server,55,3,3,3,0
1,normal,200,274,adservice,server,57,2,2,2,0
1,normal,200,274,cartservice,server,60,3,3,3,0
1,normal,200,274,checkoutservice,checkout,54,3,3,3,0
1,normal,200,274,currencyservice,server,54,3,3,3,0
1,normal,200,274,emailservice,email,59,3,3,3,0
1,normal,200,274,frontend,server,72,2,2,2,0
1,normal,200,274,paymentservice,payment,57,3,3,3,0
1,normal,200,274,productcatalogservice,server,73,2,2,2,0
1,normal,200,274,recommendationservice,server,70,2,2,2,0
1,normal,200,274,redis-cart,-,,1,1,1,0
1,normal,200,274,shippingservice,server,53,3,3,3,0
1,normal,200,289,adservice,server,55,2,2,2,0
1,normal,200,289,cartservice,server,61,3,3,3,0
1,normal,200,289,checkoutservice,checkout,48,3,3,3,0
1,normal,200,289,currencyservice,server,58,3,3,3,0
1,normal,200,289,emailservice,email,56,3,3,3,0
1,normal,200,289,frontend,server,75,2,2,2,0
1,normal,200,289,paymentservice,payment,56,3,3,3,0
1,normal,200,289,productcatalogservice,server,70,2,2,2,0
1,normal,200,289,recommendationservice,server,69,2,2,2,0
1,normal,200,289,redis-cart,-,,1,1,1,0
1,normal,200,289,shippingservice,server,52,3,3,3,0
1,normal,200,305,adservice,server,60,2,2,2,0
1,normal,200,305,cartservice,server,63,3,3,3,0
1,normal,200,305,checkoutservice,checkout,52,3,3,3,0
1,normal,200,305,currencyservice,server,55,3,3,3,0
1,normal,200,305,emailservice,email,57,3,3,3,0
1,normal,200,305,frontend,server,78,2,2,2,0
1,normal,200,305,paymentservice,payment,57,3,3,3,0
1,normal,200,305,productcatalogservice,server,74,2,2,2,0
1,normal,200,305,recommendationservice,server,73,2,2,2,0
1,normal,200,305,redis-cart,-,,1,1,1,0
1,normal,200,305,shippingservice,server,51,3,3,3,0
1,normal,200,320,adservice,server,57,2,2,2,0
1,normal,200,320,cartservice,server,65,3,3,3,0
1,normal,200,320,checkoutservice,checkout,52,3,3,3,0
1,normal,200,320,currencyservice,server,57,3,3,3,0
1,normal,200,320,emailservice,email,57,3,3,3,0
